"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Ds_Site_Hypopharynx_SHAP","Ds_Site_Larynx_SHAP","Ds_Site_Lip_Oral_Cavity_SHAP","Ds_Site_Oropharynx_SHAP","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DD_SHAP"
"Ds_Site_Esophagus",1,-0.0223660698389005,-0.0298269902250247,-0.0123999882919672,-0.00887242991492196,-0.129026996347087,0.00156925603283034,-0.0507179758738768,-0.18963461536504,-0.0851353151989511,0.127430719575795,-0.0197657860167016,0.12502480446817,0.0058768479228628,0.0179490504690286,0.0398610640608348,0.0697208713198572,-0.0146125219753024,0.0167489940123244,0.0134671969292347,0.019250576951325,0.00274034974094141,-0.0163308865875287,-0.0334939680028197,0.0352958340958368,0.0546719562507679,-0.00273298412769424,0.0381354449602052,-0.00928436824179548
"Ds_Site_Hypopharynx",-0.0223660698389005,1,-0.115299285112669,-0.0479334245488091,-0.034297286406876,-0.498767067237398,0.0605150273635517,0.103967180632976,0.061635021122038,-0.30057825306887,0.29940747738339,-0.0638315621305762,0.115247925181399,0.00407883034897576,0.0368192336390872,0.219310695888056,0.171520771813273,0.766437630874601,0.132641710210901,0.0562501339346972,0.17572428242948,-0.0215664842290061,0.0510874613169688,0.0135056306757618,0.153056053917687,0.109139758385929,0.0352780096031456,0.0416556255581812,-0.00883520531418837
"Ds_Site_Larynx",-0.0298269902250247,-0.115299285112669,1,-0.0639231566281998,-0.045738246986224,-0.665146829380796,0.0167613282898905,0.223573734675049,-0.346801319247812,-0.404813469170314,0.50307920769398,0.0179753645321795,0.0256279502541385,-0.0168007486671145,-0.0175546682305098,0.221875176929481,0.0654165774340219,-0.104746268354763,-0.378300055604938,0.0514852040913157,0.222190288221407,0.00444474756456618,0.0704643751741182,-0.0504096110900725,0.168565083309176,0.119056282890278,0.0150893335212958,0.0605665317588485,0.024677177525077
"Ds_Site_Lip_Oral_Cavity",-0.0123999882919672,-0.0479334245488091,-0.0639231566281998,1,-0.019014782344631,-0.276521795680246,-0.052315227020675,-0.0138765216112082,0.0508562872348768,-0.17030406669642,0.259381933480957,-0.0763993373517814,0.0275152604982383,0.012594856786391,0.0384671720412657,0.0773738682919154,0.0929101822854188,-0.0513974381401732,0.0685417207905105,-0.749795455293653,0.0733300749050668,0.0509337963564983,-0.0128061053686542,0.0126747915276032,0.101249454539252,0.0989149349652922,0.00706030126884737,0.00512705673189615,-0.017091229456833
"Ds_Site_Nasal_Cavity",-0.00887242991492196,-0.034297286406876,-0.045738246986224,-0.019014782344631,1,-0.197856658760774,-0.121988643452533,0.00861095422784109,-0.134548380843888,-0.080243778852166,0.0818226895468906,0.0462354054760045,-0.0697010028440571,-0.0192183286294465,-0.082816570078501,0.0551117103879976,-0.0225087416351053,-0.0173942615324748,0.0203455484340525,0.0198633580825107,0.151334765096879,0.0649777264230903,0.0207744354576967,-0.0464949106935369,0.0552955894393716,0.0839510823024691,-0.0100408241632367,-0.0131014658747721,0.0645443779608466
"Ds_Site_Oropharynx",-0.129026996347087,-0.498767067237398,-0.665146829380796,-0.276521795680246,-0.197856658760774,1,0.000348784084609673,-0.226463725719766,0.281002568948822,0.598072148512791,-0.713747337054657,0.0445098817543143,-0.10447093513041,0.00999625165896505,-0.00442114216832892,-0.357510681430188,-0.196783322908913,-0.36700680526313,0.178705742169595,0.189812638938635,-0.351071764461193,-0.0261648985537409,-0.0843383415204869,0.0442259899642277,-0.283034684395549,-0.227445081231663,-0.0329953842967926,-0.0778284397578282,-0.0228742560976319
"Sex",0.00156925603283034,0.0605150273635517,0.0167613282898905,-0.052315227020675,-0.121988643452533,0.000348784084609673,1,0.0802097227991084,-0.010822563435256,0.0468177339525545,0.0391010447199321,0.0503718961839257,0.0338060731946478,-0.0296933825613547,0.0749006476745492,-0.088472081447373,-0.0144665575600274,0.0339517233590622,0.00259409091939565,0.0457642604386581,-0.0622727792049642,-0.501343032889626,0.056502508405945,0.0102595923197611,-0.0808736889689562,-0.0492550106818007,-0.0475188328799118,0.0141375042025914,-0.0634761744789181
"Smoking_PY",-0.0507179758738768,0.103967180632976,0.223573734675049,-0.0138765216112082,0.00861095422784109,-0.226463725719766,0.0802097227991084,1,-0.0142235477288643,-0.360849703267385,0.196020652114072,-0.0435960504899289,0.0890498012000446,0.0422361802677203,0.0261436984849503,0.525732502221872,0.375185800366469,0.0784763848770088,-0.0874559760174901,0.0165813182201419,0.0812593056703734,-0.0871367698137388,0.452249983130391,-0.000533008813510657,0.174243018604454,0.050926449928943,0.0538284471822926,0.033908613542358,0.010001845940414
"Stage_numeric",-0.18963461536504,0.061635021122038,-0.346801319247812,0.0508562872348768,-0.134548380843888,0.281002568948822,-0.010822563435256,-0.0142235477288643,1,0.171623234850908,-0.213776942521556,-0.0326161980860015,0.192079889213555,-0.0365119145330369,-0.0109685037283661,-0.00956395583891176,0.042451827208832,0.0242935512001025,0.0324874408091246,-0.0278654812626718,-0.130910618743473,-0.0126236570170411,0.0101656836050593,0.196390475086099,-0.0437743163262201,-0.0594500557215434,-0.00754946267627731,0.0149217202186529,-0.0231790332612619
"HPV_Positive",-0.0851353151989511,-0.30057825306887,-0.404813469170314,-0.17030406669642,-0.080243778852166,0.598072148512791,0.0468177339525545,-0.360849703267385,0.171623234850908,1,-0.668090986870034,0.172534957313095,-0.0835577413099056,0.00383787278254569,-0.0251038686183906,-0.629531335538284,-0.410844462735949,-0.23109773100372,0.04861410613198,0.116880656282623,-0.296049527740925,-0.0751890326697196,-0.158370750989378,0.0291812437261405,-0.524743956714804,-0.300669039342433,-0.101391820390028,-0.102669774581195,-0.0211967963678538
"HPV_Unknown",0.127430719575795,0.29940747738339,0.50307920769398,0.259381933480957,0.0818226895468906,-0.713747337054657,0.0391010447199321,0.196020652114072,-0.213776942521556,-0.668090986870034,1,-0.224934483777137,0.0767313053710045,0.00362775443130714,-0.0111132477500501,0.387071425907103,0.223573897747896,0.263593575814599,-0.174477745940552,-0.17673909630308,0.229348392112027,0.0035899550842545,0.0706447180571937,-0.0251585461845093,0.314358115412809,0.321699129326025,0.0796734651743392,0.0796882901828365,0.0352757042155782
"RT_year",-0.0197657860167016,-0.0638315621305762,0.0179753645321795,-0.0763993373517814,0.0462354054760045,0.0445098817543143,0.0503718961839257,-0.0435960504899289,-0.0326161980860015,0.172534957313095,-0.224934483777137,1,0.0460871540192999,0.0102970522606724,0.219734790334519,-0.253552124366112,-0.28971911992182,-0.0785863429119084,-0.0281249333544101,0.0270584764392515,-0.010959437331935,-0.045319746351431,0.00338646245882119,-0.0247360349361968,-0.0582556338489811,-0.0424504164467006,-0.427335366332845,0.00260920508661421,-0.123713451185603
