"","medians","abs_medians"
"Smoking_PY_SHAP",0.0029998601766137,0.0291996230881953
"HPV_Positive_SHAP",-0.00666653795421395,0.0192763114438968
"Age_SHAP",2.70917574448819e-05,0.00818172696899122
"RT_year_SHAP",-0.000817293070820734,0.00567499291755514
"Stage_numeric_SHAP",0.00315568080477771,0.00434285595635302
"Ds_Site_Oropharynx_SHAP",0.00140731759855702,0.00288850472388026
"HPV_Unknown_SHAP",0.000763676265407484,0.00167678573181319
"Sex_SHAP",-0.000281852440882875,0.000627897557226576
"Ds_Site_Hypopharynx_SHAP",-0.000304849389458017,0.000362431903132711
"Ds_Site_Larynx_SHAP",-3.74797174580584e-05,0.000339557793585743
